# MC68020UM.pdf section 8.2.6, MOVE instruction, 506 cells
source,destination,best,cache,worst
"(xxx).l","(d8,an,xn)",8,9,14
"(xxx).l","(xxx).l",8,9,16
"(xxx).l","(xxx).w",6,7,14
"(xxx).l","-(an)",6,7,12
"(xxx).l","an",3,6,10
"(xxx).l","dn",3,6,10
"(xxx).w","([b],i)",13,14,13
"(xxx).w","([b],i,d16)",15,16,20
"(xxx).w","([b],i,d32)",16,17,23
"(xxx).w","([d16,b],i)",15,16,20
"(xxx).w","([d16,b],i,d16)",17,18,23
"(xxx).w","([d16,b],i,d32)",18,19,26
"(xxx).w","([d32,b],i)",19,20,27
"(xxx).w","([d32,b],i,d16)",21,22,28
"(xxx).w","([d32,b],i,d32)",22,23,30
"(xxx).w","(an)",6,7,10
"(xxx).w","(an)+",6,7,10
"(xxx).w","(b)",9,10,13
"(xxx).w","(d16,an)",6,7,12
"(xxx).w","(d16,an,xn)",10,11,15
"(xxx).w","(d16,b)",11,12,17
"(xxx).w","(d32,b)",15,16,22
"(xxx).w","(d8,an,xn)",8,9,12
"(xxx).w","(xxx).l",8,9,14
"(xxx).w","(xxx).w",6,7,12
"(xxx).w","-(an)",6,7,10
"(xxx).w","an",3,6,8
"(xxx).w","dn",3,6,8
"-(an)","([b],i)",13,15,13
"-(an)","([b],i,d16)",15,17,20
"-(an)","([b],i,d32)",16,18,23
"-(an)","([d16,b],i)",15,17,20
"-(an)","([d16,b],i,d16)",17,19,23
"-(an)","([d16,b],i,d32)",18,20,26
"-(an)","([d32,b],i)",19,21,25
"-(an)","([d32,b],i,d16)",21,23,28
"-(an)","([d32,b],i,d32)",22,24,30
"-(an)","(an)",6,8,10
"-(an)","(an)+",6,8,10
"-(an)","(b)",9,11,13
"-(an)","(d16,an)",6,8,12
"-(an)","(d16,an,xn)",10,12,15
"-(an)","(d16,b)",11,13,17
"-(an)","(d32,b)",15,17,22
"-(an)","(d8,an,xn)",8,10,12
"-(an)","(xxx).l",8,10,14
"-(an)","(xxx).w",6,8,12
